Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Forge Nano's Series A,https://www.crunchbase.com/funding-round/988d0685ab34363c7b22cb8199340cc9,Forge Nano,https://www.crunchbase.com/organization/forge-nano,Series A,"$20,000,000",11/03/2016,1,
"DXTR Labs, Inc's Convertible Note",https://www.crunchbase.com/funding-round/daade26c29f3b0550ef75352268dad24,"DXTR Labs, Inc",https://www.crunchbase.com/organization/dxtr-labs-inc,Convertible Note,"$525,000",09/17/2015,9,"$2,000,000"
ZUtA Labs' Product Crowdfunding,https://www.crunchbase.com/funding-round/8d354d55000fce579254cc3a0b82e8a7,ZUtA Labs,https://www.crunchbase.com/organization/zuta-labs,Product Crowdfunding,"$500,000",04/10/2014,,
908 Devices' Series C,https://www.crunchbase.com/funding-round/d0b6f0eb32eb1b13e776213580bccd7a,908 Devices,https://www.crunchbase.com/organization/908-devices,Series C,"$11,600,000",05/06/2015,5,
908 Devices' Series A,https://www.crunchbase.com/funding-round/f8645685b5da5847400cb677e700cbb8,908 Devices,https://www.crunchbase.com/organization/908-devices,Series A,"$8,100,000",09/05/2012,4,
908 Devices' Series B,https://www.crunchbase.com/funding-round/6cf034e663f0c22047d4a82a499a685b,908 Devices,https://www.crunchbase.com/organization/908-devices,Series B,"$7,000,000",08/27/2013,4,
StoreDot's Series B,https://www.crunchbase.com/funding-round/b49c9cc7214c2c45188482ef4033c995,StoreDot,https://www.crunchbase.com/organization/storedot,Series B,"$42,000,000",10/01/2014,2,
SiNode Systems' Seed Round,https://www.crunchbase.com/funding-round/fd31ab0d101a68944bb8c8cb5c2f6ce1,SiNode Systems,https://www.crunchbase.com/organization/sinode-systems,Seed,,03/13/2014,2,
StoreDot's Series A,https://www.crunchbase.com/funding-round/fefe4662ea8d927f90bd17ee98787c16,StoreDot,https://www.crunchbase.com/organization/storedot,Series A,"$6,000,000",06/26/2013,2,
Skyfront's Seed Round,https://www.crunchbase.com/funding-round/16b7bde34f88225eb240144cdd1943a3,Skyfront,https://www.crunchbase.com/organization/skyfront,Seed,"$120,000",06/05/2015,2,
StoreDot's Series C,https://www.crunchbase.com/funding-round/e812ed155f4bdd5038c727f9ea66750f,StoreDot,https://www.crunchbase.com/organization/storedot,Series C,"$18,000,000",08/19/2015,2,
3dim's Seed Round,https://www.crunchbase.com/funding-round/3789f9aa274aaef8936832f30e829fe4,3dim,https://www.crunchbase.com/organization/3dim,Seed,"$50,000",10/30/2013,1,
Adeptence's Debt Financing,https://www.crunchbase.com/funding-round/5e2d8619247990a4b9edadcf64b031b4,Adeptence,https://www.crunchbase.com/organization/adeptence,Debt Financing,"$5,800,000",04/24/2014,,
SiNode Systems' Grant,https://www.crunchbase.com/funding-round/209911c560bac05abf397afa96bbca47,SiNode Systems,https://www.crunchbase.com/organization/sinode-systems,Grant,"$1,000,000",06/17/2014,,
World Energy Canada's Equity Crowdfunding,https://www.crunchbase.com/funding-round/099ac845127a14a370b22858ad4350d6,World Energy Canada,https://www.crunchbase.com/organization/world-energy-canada,Equity Crowdfunding,"$80,000",01/14/2015,,
908 Devices' Grant,https://www.crunchbase.com/funding-round/ad6dcfaec3d3515e6f8eaccfaa83f664,908 Devices,https://www.crunchbase.com/organization/908-devices,Grant,"$2,600,000",09/09/2014,,
Pulse Aerospace's Venture Round,https://www.crunchbase.com/funding-round/b8570eaa40b3c8e0622daed5bdc361f7,Pulse Aerospace,https://www.crunchbase.com/organization/pulse-aerospace,Series Unknown,"$21,223,400",01/06/2015,,
StoreDot's Series B,https://www.crunchbase.com/funding-round/ab2b1feffe1e943799a31adaf4d24f25,StoreDot,https://www.crunchbase.com/organization/storedot,Series B,,06/12/2014,1,
LakeHawk Technologies' Equity Crowdfunding,https://www.crunchbase.com/funding-round/842874be83898bc7a745bd8881cab72c,LakeHawk Technologies,https://www.crunchbase.com/organization/lakehawk-technologies,Equity Crowdfunding,,05/04/2015,,
Graphenics' Seed Round,https://www.crunchbase.com/funding-round/a2ba652c388c0adb74da81c5ecbebc17,Graphenics,https://www.crunchbase.com/organization/graphenics,Seed,"$20,000",09/01/2013,1,
Graphenest - Advanced Nanotechnology's Seed Round,https://www.crunchbase.com/funding-round/9ced4e134c808abfb285648513d19b1c,Graphenest - Advanced Nanotechnology,https://www.crunchbase.com/organization/graphenium---advanced-nanotechnology,Seed,,07/23/2015,1,
Skyfront's Venture Round,https://www.crunchbase.com/funding-round/349bd683e1557498756c3ef0b7a7a296,Skyfront,https://www.crunchbase.com/organization/skyfront,Series Unknown,,01/28/2016,1,
ORA's Seed Round,https://www.crunchbase.com/funding-round/a364d0f1df681a04d5b2ba88e1f6bca3,ORA,https://www.crunchbase.com/organization/ora-3,Seed,"$500,000",05/01/2016,1,
SiNode Systems' Grant,https://www.crunchbase.com/funding-round/59eeec74fc87668a4dd6aa39527df49d,SiNode Systems,https://www.crunchbase.com/organization/sinode-systems,Grant,"$4,000,000",06/21/2016,,
Tine's Non Equity Assistance,https://www.crunchbase.com/funding-round/0071ee0e8def9f76d45ae57a0c1c0ada,Tine,https://www.crunchbase.com/organization/tine,Non-equity Assistance,,02/01/2013,1,
