Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Zwift's Series A,https://www.crunchbase.com/funding-round/3646752ca7d3ffe4525c2f619777a13c,Zwift,https://www.crunchbase.com/organization/zwift,Series A,"$27,300,000",11/16/2016,5,
Feelter's Series A,https://www.crunchbase.com/funding-round/0c9be0c787d005fb2ebaaf2a80b90ead,Feelter,https://www.crunchbase.com/organization/feelter,Series A,"$2,000,000",11/07/2016,1,
SoloLearn's Seed Round,https://www.crunchbase.com/funding-round/b9ee3983a35ffba4d27fa08cfb5266d1,SoloLearn,https://www.crunchbase.com/organization/sololearn,Seed,"$1,200,000",10/18/2016,2,
ReaLync's Seed Round,https://www.crunchbase.com/funding-round/79a25278dd9afcaf4be07e24a756964c,ReaLync,https://www.crunchbase.com/organization/realync,Seed,"$1,100,000",10/04/2016,4,
Enplug's Seed Round,https://www.crunchbase.com/funding-round/f0f1690d9832274abbde895353af54a1,Enplug,https://www.crunchbase.com/organization/enplug,Seed,"$2,500,000",04/17/2014,13,
Visually's Seed Round,https://www.crunchbase.com/funding-round/d2dfc02f266a6c4c5434d186cbf19408,Visually,https://www.crunchbase.com/organization/visual-ly,Seed,"$2,000,000",10/20/2011,12,
Victorious' Series A,https://www.crunchbase.com/funding-round/bcd197f2a8cb4042f5c6cff81b7b9abb,Victorious,https://www.crunchbase.com/organization/victorious-2,Series A,"$23,200,000",06/16/2014,13,
MasterClass' Series A,https://www.crunchbase.com/funding-round/2a3438c65de46c63d58886632d1075a4,MasterClass,https://www.crunchbase.com/organization/masterclass,Series A,"$4,500,000",01/01/2015,11,
Revlo's Seed Round,https://www.crunchbase.com/funding-round/97a7ed10989ff7ba25e8e3ae1d4abc5d,Revlo,https://www.crunchbase.com/organization/revlo,Seed,"$1,100,000",05/11/2016,9,
Rapt Media's Seed Round,https://www.crunchbase.com/funding-round/1f8830be7aeb8744e0ccf2513376b1bd,Rapt Media,https://www.crunchbase.com/organization/rapt-media,Seed,"$4,398,376",01/23/2013,10,
MasterClass' Series B,https://www.crunchbase.com/funding-round/c2c45cb09a4307ee464fc306e14d945c,MasterClass,https://www.crunchbase.com/organization/masterclass,Series B,"$15,000,000",02/23/2016,9,
MyRoll's Seed Round,https://www.crunchbase.com/funding-round/78f5d36a70aee13efa265efdd23c2b54,MyRoll,https://www.crunchbase.com/organization/flayvr,Seed,"$2,000,000",04/09/2014,9,
Bubbl's Seed Round,https://www.crunchbase.com/funding-round/30516303b98e5484abbc23a6b0af5f95,Bubbl,https://www.crunchbase.com/organization/bubbl,Seed,"$500,000",06/02/2014,10,
