Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
33Coupons,https://www.crunchbase.com/organization/33coupons,Internet Services,"Kanpur, Uttar Pradesh, India",A place to find top discount offers among all online stores & categories.,"49,175",Operating,05/01/2015,,,http://33coupons.in,https://twitter.com/33coupons,https://www.facebook.com/33coupons,https://www.linkedin.com/company/33coupons,info@33coupons.in,+918934002244,Internet,1,1-10,07/06/2015,"$20,000","$20,000","$20,000","$20,000",,-0.2,0.4,0.6
Appetitoo,https://www.crunchbase.com/organization/appetitoo,"Platforms, Apps, Travel and Tourism, Food and Beverage, Software, Mobile","Naples, Campania, Italy",Your own restaurant's mobile app,,Operating,06/01/2013,,,http://www.appetitoo.com,http://twitter.com/appetitoo,,,info@appetitoo.com,+39 081 572 2018,"iOS, Android, Hospitality, Restaurants, Apps, Mobile",4,1-10,,,,,,,-0.6,-0.6,-1.4
Asternotes,https://www.crunchbase.com/organization/asternotes,"Platforms, Commerce and Shopping, Software, Mobile","Phoenix, Arizona, United States",Asternotes is a cloud-based mobile platform that caters to the needs of consumers and storeowners.,,Operating,01/01/2013,,,http://www.asternotes.com,,https://www.facebook.com/asternotes,,info@asternotes.com,,"Android, Shopping, Retail, Mobile",2,1-10,,,,,,,-0.3,-0.6,-0.9
banqo.,https://www.crunchbase.com/organization/banqo,"Apps, Software, Internet Services","Istanbul, Istanbul, Turkey",banqo. a mobile application multiplatform offering sports betting and social experience to users in the vertical.,,Operating,01/01/2015,,,http://banqo.com/,https://twitter.com/banqoAS,https://www.facebook.com/banqo.as/?fref=ts,,info@banqo.com,,"Apps, Social Network",,,,,,,,,0.0,-0.3,-0.8
Bidzy,https://www.crunchbase.com/organization/bidzy,"Media and Entertainment, Internet Services, Mobile","San Francisco, California, United States",Bidzy is a website providing information of various services providers and enables customers to make appointments and bookings.,"96,620",Closed,01/01/2012,,2,http://www.bidzy.com,https://www.twitter.com/bidzy_inc,,,info@bidzy.com,(415) 528-5300,"Local, Social Media, Mobile",2,1-10,,,,,,,-0.4,-0.6,-1.0
Birthday Gorilla,https://www.crunchbase.com/organization/birthday-gorilla,"Sales and Marketing, Internet Services, Messaging and Telecommunications, Advertising","Brisbane, Queensland, Australia",Customer birthday wishing,,Closed,05/01/2011,07/19/2012,,http://www.birthdaygorilla.com,http://twitter.com/birthdaygorilla,,,lee@birthdaygorilla.com,,"SMS, Advertising",1,1-10,05/01/2011,,,,,,-0.3,0.7,0.7
BuyToEarn,https://www.crunchbase.com/organization/buytoearn,"Commerce and Shopping, Internet Services","Jamshedpur, Jharkhand, India",Buytoearn is coupon website to earn free recharge as cashback by shopping through their website.,,Operating,12/26/2013,,,http://www.buytoearn.in,https://www.twitter.com/buytoearn,,,cs@buytoearn.in,,"E-Commerce, Internet",,,,,,,,,-0.5,-0.6,-0.8
Connected Commerce,https://www.crunchbase.com/organization/connected-commerce,"Commerce and Shopping, Sales and Marketing, Internet Services, Mobile","Sterling, Virginia, United States","Connected Commerce is a Business firm specializing in rolling gift cards, loyalty cards, coupons and deals all onto one good looking app.",,Operating,01/01/2012,,,http://www.connectedcommerce.net,http://twitter.com/ConnectedComm,http://www.facebook.com/pages/Connected-Commerce/476248695718467,,cbasileo@connectedcommerce.net,(855) 266.2660,"Coupons, E-Commerce, Small and Medium Businesses, Social Media Management, Mobile",,11-50,,,,,,,-0.5,-0.8,-1.2
CouponDaddy,https://www.crunchbase.com/organization/coupondaddy,"Commerce and Shopping, Internet Services","Gurgaon, Haryana, India",Search Coupon Daddy for Coupons & Save More!,,Operating,02/01/2014,,,http://www.coupondaddy.in/,https://twitter.com/CouponDaddyIn,https://www.facebook.com/coupondaddy.in,,,+919386523478,"Coupons, E-Commerce, E-Commerce Platforms",,1-10,,,,,,,-0.3,-0.2,-0.5
CouponDudes,https://www.crunchbase.com/organization/coupondudes,"Commerce and Shopping, Media and Entertainment, Internet Services",,CouponDudes is a social coupon website featuring coupons from thousands of top merchants.,,Operating,03/01/2011,,,http://www.coupondudes.com,http://twitter.com/coupondudes,http://www.facebook.com/pages/CouponDudes/158147497554203,,,,"Coupons, E-Commerce, Social Media",,1-10,,,,,,,-0.2,1.2,0.7
Couponify,https://www.crunchbase.com/organization/couponify,"Commerce and Shopping, Sales and Marketing, Internet Services",,Couponify provides SEO friendly management websites for coupon merchants.,,Operating,08/04/2011,,,http://www.couponify.com,,,,mark@couponify.com,,"Coupons, E-Commerce, SEO",,1-10,,,,,,,-0.5,0.0,0.2
