Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
"Wizhunt Locals, Inc.'s Series A",https://www.crunchbase.com/funding-round/c3f10c49a57caf5bcce9e3816f98d632,"Wizhunt Locals, Inc.",https://www.crunchbase.com/organization/wizhunt-locals-inc,Series A,,10/24/2015,,"$50,000,000"
SnipSnap's Angel Round,https://www.crunchbase.com/funding-round/9ff9e3dd6aba2659a118b0c887033a55,SnipSnap,https://www.crunchbase.com/organization/snipsnap-app,Angel,"$1,000,000",05/11/2012,14,
CupoNation's Series B,https://www.crunchbase.com/funding-round/dad9b79112be8390ccbe1bba2870653d,CupoNation,https://www.crunchbase.com/organization/cuponation,Series B,"€10,000,000",12/10/2015,8,
Ibotta's Series B,https://www.crunchbase.com/funding-round/b021b585cf3e2acf6927c7a754fd0db6,Ibotta,https://www.crunchbase.com/organization/ibotta,Series B,"$20,000,000",06/11/2014,5,
Flint's Series C,https://www.crunchbase.com/funding-round/9de9f638f41bf48758a1a6e130fb3612,Flint,https://www.crunchbase.com/organization/flint,Series C,"$9,400,000",10/22/2014,5,
91App's Series A,https://www.crunchbase.com/funding-round/e5b37ac80448e0e06273506eafd79a0e,91App,https://www.crunchbase.com/organization/91app,Series A,"$9,000,000",03/24/2015,5,
Chippmunk's Seed Round,https://www.crunchbase.com/funding-round/1ba0409c6b6b9377bd89438490813db0,Chippmunk,https://www.crunchbase.com/organization/chippmunk,Seed,"$750,000",12/11/2013,5,
Ibotta's Series C,https://www.crunchbase.com/funding-round/28cf9e3aceeea4a29bf859538a2f62b0,Ibotta,https://www.crunchbase.com/organization/ibotta,Series C,"$40,000,000",09/28/2015,4,
Flint's Series B,https://www.crunchbase.com/funding-round/a4fcb89e57b2b2cc4cf993c72f118d58,Flint,https://www.crunchbase.com/organization/flint,Series B,"$6,000,000",10/25/2013,4,
Fronto's Series B,https://www.crunchbase.com/funding-round/2bf81306e6f809cdede92c85a930bb01,Fronto,https://www.crunchbase.com/organization/fronto,Series B,"$14,000,000",05/27/2015,5,
