Investor Name,Investor Name URL,Number of Investments,Number of Exited Companies,Location,Investor Type,Description,Website,Twitter,Facebook,LinkedIn,Number of Portfolio Companies,Number of Lead Investments,Program Type,Next Application Deadline,Program Duration,Crunchbase Rank,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,"1,279",221,"Menlo Park, California, United States",Venture Capital,"Sequoia is a VC firm focused on energy, financial, enterprise, healthcare, internet, and mobile startups.",http://www.sequoiacap.com,http://twitter.com/sequoia,http://www.facebook.com/SequoiaCap,http://www.linkedin.com/company/sequoia,714,448,,,,17,0.0,-0.2,0.5
500 Startups,https://www.crunchbase.com/organization/500-startups,"1,257",111,"Mountain View, California, United States",Accelerator,500 Startups is a global venture capital seed fund and startup accelerator based in Silicon Valley with ~$200M in assets under management.,http://500.co,http://twitter.com/500startups,http://www.facebook.com/500startups,http://www.linkedin.com/company/500-startups,"1,032",112,On Site,09/30/2016,,13,0.0,-0.6,0.0
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,"1,163",225,"Menlo Park, California, United States",Venture Capital,New Enterprise Associates is a California-based global venture capital firm that funds companies across all investment stages.,http://www.nea.com,http://twitter.com/neavc,http://www.facebook.com/NEAvc,http://www.linkedin.com/company/new-enterprise-associates,682,428,,,,134,-0.9,-2.9,-5.1
Intel Capital,https://www.crunchbase.com/organization/intel-capital,"1,106",282,"Santa Clara, California, United States",Corporate Venture Capital,"Intel Capital is an investment firm that is focused on mergers, acquisitions, and equity investments related to tech startups.",http://www.intelcapital.com,http://twitter.com/intelcapital,,http://www.linkedin.com/company/intel-capital,775,361,,,,53,-1.3,-2.1,4.7
Y Combinator,https://www.crunchbase.com/organization/y-combinator,"1,091",131,"Mountain View, California, United States",Accelerator,"Y Combinator is a startup accelerator based in Mountain View, CA.",http://www.ycombinator.com,http://twitter.com/ycombinator,http://www.facebook.com/YCombinator,,983,160,On Site,10/04/2016,3 months,6,-0.6,0.0,-1.3
Accel Partners,https://www.crunchbase.com/organization/accel-partners,978,198,"Palo Alto, California, United States",Venture Capital,"Accel is a leading early and growth-stage venture capital firm, powering a global community of entrepreneurs.",http://www.accel.com,http://twitter.com/accel,http://www.facebook.com/accel,http://www.linkedin.com/company/accel-partners,534,342,,,,45,0.9,-1.6,-1.5
Wayra,https://www.crunchbase.com/organization/wayra,936,7,"Madrid, Madrid, Spain",Accelerator,"Wayra, Telefonica Open Future´s start-up accelerator, promotes entrepreneurship and accelerates disruptive start-ups in Europe and Latam.",http://wayra.co/,http://twitter.com/Wayra,http://www.facebook.com/wayra.org,http://www.linkedin.com/company/wayra,478,3,On Site,,6 months,437,-0.5,-1.5,-1.4
Kleiner Perkins Caufield & Byers,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers,870,157,"Menlo Park, California, United States",Venture Capital,Kleiner Perkins Caufield & Byers invests globally in internet start ups and operate an informational website filled with technology news.,http://www.kpcb.com,http://twitter.com/kpcb,http://www.facebook.com/kpcbprofile,http://www.linkedin.com/company/36213,465,225,,,,316,-0.5,-2.0,-2.0
Start-Up Chile,https://www.crunchbase.com/organization/start-up-chile,742,9,"Santiago, Region Metropolitana, Chile",Accelerator,Start-Up Chile is a program of the Chilean government to attract high-potential entrepreneurs to bootstrap their startups in Chile.,http://startupchile.org,http://twitter.com/startupchile,http://www.facebook.com/startupchile,http://www.linkedin.com/company/start-up-chile,707,,,09/07/2016,,"1,938",-0.4,-1.4,-1.5
SOSV,https://www.crunchbase.com/organization/sosventures,731,16,"Princeton, New Jersey, United States",Accelerator,"SOSV is ""the accelerator"" VC, investing about $50 million per year in startup companies.",http://www.sosv.com,https://twitter.com/SOSVvc,https://www.facebook.com/SOSVvc/,https://www.linkedin.com/company/sosvvc,519,14,On Site,,4 months,"1,162",-1.7,-4.9,-8.6
