Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
UNYQ's Seed Round,https://www.crunchbase.com/funding-round/3ea208efda1146cce908cc92c3f8d7f5,UNYQ,https://www.crunchbase.com/organization/unyq-2,Seed,"$1,100,000 ",6/23/2014,1,
Wellinks' Seed Round,https://www.crunchbase.com/funding-round/b355572e73346fd65382706fc95ac19c,Wellinks,https://www.crunchbase.com/organization/wellinks,Seed,"$100,000 ",10/14/2014,2,
AbiliLife's Seed Round,https://www.crunchbase.com/funding-round/f5227cc66f88f2f9fc47d98129421818,AbiliLife,https://www.crunchbase.com/organization/abililife,Seed,"$50,000 ",8/18/2015,1,
UNYQ's Seed Round,https://www.crunchbase.com/funding-round/36f684c3360b1188dbde526bdbf4ee59,UNYQ,https://www.crunchbase.com/organization/unyq-2,Seed,"$1,600,000 ",4/6/2015,,
UNYQ's Seed Round,https://www.crunchbase.com/funding-round/634e01cccad05ca475de70233433ad6a,UNYQ,https://www.crunchbase.com/organization/unyq-2,Seed,"$151,313 ",12/15/2014,,
Wellinks' Venture Round,https://www.crunchbase.com/funding-round/47994d7d48ae0a932b3420fe56a7fbca,Wellinks,https://www.crunchbase.com/organization/wellinks,Series Unknown,,9/11/2015,1,
AbiliLife's Convertible Note,https://www.crunchbase.com/funding-round/97be6c59f2bb87cd6757d47ed6a3d4c1,AbiliLife,https://www.crunchbase.com/organization/abililife,Convertible Note,,10/14/2016,1,
UNYQ's Equity Crowdfunding,https://www.crunchbase.com/funding-round/895d191798020ad8fad869af26122511,UNYQ,https://www.crunchbase.com/organization/unyq-2,Equity Crowdfunding,"$2,500,000 ",7/12/2016,,
ExoYou's Equity Crowdfunding,https://www.crunchbase.com/funding-round/1cf5eaaff96edbbeeaff91e7e78db674,ExoYou,https://www.crunchbase.com/organization/exoyou,Equity Crowdfunding,,7/26/2014,,
Axosuits' Venture Round,https://www.crunchbase.com/funding-round/742620d6ed3e754ca7cdb53550bcf217,Axosuits,https://www.crunchbase.com/organization/axosuits,Series Unknown,,6/2/2014,1,
Wandercraft's Series A,https://www.crunchbase.com/funding-round/69ba9edc36dcdc1b8661de6ca2f996b0,Wandercraft,https://www.crunchbase.com/organization/wandercraft,Series A,"€4,000,000",7/2/2015,1,
