Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Abaris,https://www.crunchbase.com/organization/abaris,"Software, Financial Services","Philadelphia, Pennsylvania, United States",The first direct-to-consumer platform for longevity insurance. We're bringing private market pensions to the masses.,"18,914",Operating,05/01/2014,,,https://www.myabaris.com,https://twitter.com/myabaris,https://www.facebook.com/myAbaris,https://www.linkedin.com/company/abaris-financial,help@myabaris.com,(888)248-8995,"Personal Finance, Insurance, Finance, FinTech, Software, Financial Services",3,1-10,10/20/2015,"$250,000","$250,000","$720,000","$720,000",1,-0.3,-0.4,-0.4
advisorCONNECT,https://www.crunchbase.com/organization/advisorconnect,"Media and Entertainment, Software, Internet Services, Financial Services","Brooklyn, New York, United States",advisorCONNECT provides financial advisory firms with web and social marketing application development services.,"19,212",Operating,01/01/2013,,1,http://www.advisorconnect.co/,http://twitter.com/advisor_CONNECT,http://www.facebook.com/james.lyons.315,http://www.linkedin.com/company/3351411,,,"Insurance, Social Media, Enterprise Software, FinTech, Financial Services",3,11-50,02/12/2016,"$150,000","$150,000","$700,000","$700,000",4,-0.3,-0.1,0.5
Agentrun,https://www.crunchbase.com/organization/agentrun,"Information Technology, Software, Sales and Marketing, Financial Services","Chicago, Illinois, United States",AgentRun is a cloud and mobile CRM system for insurance agents.,,Operating,05/01/2013,,,https://www.agentrun.com/,http://twitter.com/GoAgentRun,http://www.facebook.com/pages/Agentrun/493012757416387,http://www.linkedin.com/company/agentrun,,17084041255,"CRM, Insurance",2,1-10,05/19/2013,,,,,1,0.0,0.7,0.7
AgentsBids,https://www.crunchbase.com/organization/agentsbids,"Travel and Tourism, Real Estate, Software, Financial Services","Chandigarh, Chandigarh, India",AgentsBids a web platform for agents to,,Operating,07/07/2012,,,http://agentsbids.com,http://twitter.com/agentsbids,http://www.facebook.com/agentsbids,http://www.linkedin.com/company/agentsbids,surjeetthakur07@gmail.com,9915337448,"Travel, Insurance, Real Estate, Finance, Software",,11-50,,,,,,,-0.1,0.7,-0.4
"AJT Media, Inc.",https://www.crunchbase.com/organization/ajt-media--inc-,"Media and Entertainment, Software, Professional Services, Financial Services, Mobile","Fort Lauderdale, Florida, United States","Highly talented, accomplished group of marketers and minds driving media online",,Operating,01/01/2013,,2,http://ajtmedia.com/,,,,hello@ajtmedia.com,(800) 959-0938,"Digital Media, Insurance, Mobile, Software, Legal",,11-50,,,,,,,0.0,-0.2,-0.1
"AlgorX, Inc.",https://www.crunchbase.com/organization/algorx,"Gaming, Commerce and Shopping, Data and Analytics, Software, Financial Services","Wilmington, Delaware, United States",Online fraud intelligence and prevention software,"89,720",Was Acquired,04/12/2016,,3,https://www.algorx.com,,https://www.facebook.com/algorx,https://www.linkedin.com/company/algorx,,(302)428-9935,"Gaming, Insurance, E-Commerce, Big Data, Machine Learning, Financial Services",1,11-50,,,,,,,0.0,0.1,-0.2
Analyze Re,https://www.crunchbase.com/organization/analyze-re,"Data and Analytics, Software, Financial Services","Halifax, Nova Scotia, Canada",Analyze Re is a software company developing portfolio risk management and pricing systems for the reinsurance industry.,"6,115",Operating,01/01/2013,,3,http://www.analyzere.com,http://twitter.com/analyzere,http://www.facebook.com/AnalyzeRe,http://www.linkedin.com/company/analyzere,info@analyzere.com,19028808998,"Insurance, Predictive Analytics, Enterprise Software, FinTech, Big Data, Analytics, Financial Services",3,1-10,11/05/2013,"$1,400,000","$1,400,000","$1,346,153","$1,346,153",5,-0.6,-1.3,3.9
asuro GmbH,https://www.crunchbase.com/organization/asuro-gmbh,"Software, Financial Services","Frankfurt, Hessen, Germany",asuro - the digital solution for your paper policy chaos at home. Create your own digital folder.,"66,029",Operating,11/01/2015,,1,https://www.asuro.de,https://twitter.com/asuro,https://www.facebook.com/asuro.de,https://www.linkedin.com/company/asuro-gmbh,info@asuro.de,+08002301050,"B2C, B2B, Insurance, Software",1,,,,,,,,0.0,-0.2,-0.4
Aureus Analytics,https://www.crunchbase.com/organization/aureus-analytics,"Information Technology, Data and Analytics, Software, Financial Services, Design","Singapore, Central Region, Singapore","Big Data and Analytics platform and products for Insurance, Banking and Healthcare. HQed in Singapore and development center in Mumbai.","15,823",Operating,05/16/2013,,,http://www.aureusanalytics.com,http://twitter.com/AureusAnalytics,http://www.facebook.com/aureusanalytics,http://www.linkedin.com/company/aureus-analytics,sanket@aureusanalytics.com,+91 22 2570 5445,"Data Visualization, Insurance, Predictive Analytics, Analytics, Machine Learning",3,11-50,02/22/2016,,"$850,000","$850,000","$850,000",2,0.1,0.1,-0.3
Automated Workflow Pvt. Ltd,https://www.crunchbase.com/organization/automated-workflow-pvt-ltd,"Information Technology, Software, Financial Services, Lending and Investments","Bangalore, Karnataka, India","Insurance, Banking Software Solutions - AWPL is a specialist organization providing smart process applications and Software Solutions",,Operating,04/24/2012,,,http://www.awpl.co/,http://twitter.com/awplco,http://www.facebook.com/awplco,http://www.linkedin.com/company/automated-workflow-private-limited,marcom@awpl.co,+91 80 4045 3800,"Insurance, Banking, Information Technology, Software, Financial Services",,51-100,,,,,,,-0.3,-0.5,-0.8
