Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Ladder's Series A,https://www.crunchbase.com/funding-round/fcb21a762ec34979911aae75723c8d9e,Ladder,https://www.crunchbase.com/organization/ladder-2,Series A,"$14,000,000",10/19/2016,4,
Slice Labs' Venture Round,https://www.crunchbase.com/funding-round/18b9bf428427923234bfa499e3d78a00,Slice Labs,https://www.crunchbase.com/organization/slice-labs,Series Unknown,,10/04/2016,1,
Clark's Series A,https://www.crunchbase.com/funding-round/e5eb5c34c0cd19187bb4af9ccb8f3cb4,Clark,https://www.crunchbase.com/organization/clark-2,Series A,"€13,200,000",08/02/2016,9,
UpGuard's Angel Round,https://www.crunchbase.com/funding-round/c047338864dd16c015d3a6b5471cdbdf,UpGuard,https://www.crunchbase.com/organization/scriptrock,Angel,"$1,200,000",06/01/2012,9,
Socotra's Seed Round,https://www.crunchbase.com/funding-round/5eacd06a2bead2e93436cb5b839a73af,Socotra,https://www.crunchbase.com/organization/socotra,Seed,,10/01/2014,9,
The Zebra's Series A,https://www.crunchbase.com/funding-round/14df84b706e11404f7ffe57e4c7699fe,The Zebra,https://www.crunchbase.com/organization/the-zebra,Series A,"$17,000,000",01/26/2016,6,
Fixt's Seed Round,https://www.crunchbase.com/funding-round/3a8c0caacb5737f2bd9b62d511bb6b97,Fixt,https://www.crunchbase.com/organization/peachme,Seed,"$800,000",01/05/2016,8,
Embroker's Series A,https://www.crunchbase.com/funding-round/8af714dae8585e9fd545ae184313e43d,Embroker,https://www.crunchbase.com/organization/embroker,Series A,"$12,200,000",05/17/2016,7,
FinanceFox's Series A,https://www.crunchbase.com/funding-round/d57c5cadc20c32a1bacd73c5f14e3a59,FinanceFox,https://www.crunchbase.com/organization/financefox,Series A,"$28,000,000",09/20/2016,8,
Metromile's Series D,https://www.crunchbase.com/funding-round/cf1a11ceb235d96d309f99c4ef92b228,Metromile,https://www.crunchbase.com/organization/metromile,Series D,"$103,100,000",09/21/2016,7,
FinanceFox's Seed Round,https://www.crunchbase.com/funding-round/1470048f9a6bba19838a45c0e78390d3,FinanceFox,https://www.crunchbase.com/organization/financefox,Seed,"$5,500,000",01/12/2016,7,
Jetty's Seed Round,https://www.crunchbase.com/funding-round/f357bfdc5ad19b6fceb5c6b0501fb5a4,Jetty,https://www.crunchbase.com/organization/jetty-2,Seed,"$4,000,000",05/18/2016,8,
The Zebra's Seed Round,https://www.crunchbase.com/funding-round/d15d6db25bb7028c595d0f115f72d070,The Zebra,https://www.crunchbase.com/organization/the-zebra,Seed,"$1,500,000",01/31/2013,5,
Metromile's Series A,https://www.crunchbase.com/funding-round/f34ffb8e1b98fb6bb990073868671014,Metromile,https://www.crunchbase.com/organization/metromile,Series A,"$4,000,000",12/05/2012,4,
UpGuard's Series A,https://www.crunchbase.com/funding-round/e83015c01b2775bcf9575130107924b8,UpGuard,https://www.crunchbase.com/organization/scriptrock,Series A,"$8,727,199",08/14/2014,4,
Fixt's Seed Round,https://www.crunchbase.com/funding-round/2518f84c09b3828431c0e6f7e8bd3224,Fixt,https://www.crunchbase.com/organization/peachme,Seed,"$600,000",08/01/2014,6,"$4,500,000"
Simplesurance GmbH's Series B,https://www.crunchbase.com/funding-round/34d679095ff82f7a2d2400e853ebe79f,Simplesurance GmbH,https://www.crunchbase.com/organization/simplesurance,Series B,"$8,000,000",03/03/2015,4,
Clark's Seed Round,https://www.crunchbase.com/funding-round/03dfcb5ca78f7552318fc651cc7c99ef,Clark,https://www.crunchbase.com/organization/clark-2,Seed,,10/05/2015,5,
Impact Health's Seed Round,https://www.crunchbase.com/funding-round/ad19adee8217a024d8ff4925ad28b27a,Impact Health,https://www.crunchbase.com/organization/impact-health,Seed,"$1,300,000",04/27/2016,6,
Simplesurance GmbH's Venture Round,https://www.crunchbase.com/funding-round/e0de415bd1fb7d069be9dbbc79e4c137,Simplesurance GmbH,https://www.crunchbase.com/organization/simplesurance,Series Unknown,,06/20/2016,4,
UpGuard's Series B,https://www.crunchbase.com/funding-round/ef6cea1032a38ca269047263f5bdfc93,UpGuard,https://www.crunchbase.com/organization/scriptrock,Series B,"$17,000,000",08/11/2016,5,
Analyze Re's Series A,https://www.crunchbase.com/funding-round/284d016770fb12e5c87b094c2b850e5f,Analyze Re,https://www.crunchbase.com/organization/analyze-re,Series A,"$1,400,000",11/05/2013,4,"$4,855,769"
The Zebra's Seed Round,https://www.crunchbase.com/funding-round/901001b6bd76c1b5feb6af92c14adf9c,The Zebra,https://www.crunchbase.com/organization/the-zebra,Seed,"$4,500,063",12/06/2013,4,
Pillar Technologies' Seed Round,https://www.crunchbase.com/funding-round/2b717f6611fef94de2b938ed47e6bf13,Pillar Technologies,https://www.crunchbase.com/organization/pillar-technologies,Seed,"$425,000",07/19/2016,4,
Metromile's Series B,https://www.crunchbase.com/funding-round/c5ab745386950b19d6b494f1cc036b5e,Metromile,https://www.crunchbase.com/organization/metromile,Series B,"$10,000,000",04/30/2013,3,
Driveway's Seed Round,https://www.crunchbase.com/funding-round/784874d59ddace1f20d5ae86722b383e,Driveway,https://www.crunchbase.com/organization/driveway-software,Seed,"$1,300,000",08/30/2013,3,
