Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Novadip Biosciences' Series A,https://www.crunchbase.com/funding-round/1d16f8d72114e233ad82f503d26d4586,Novadip Biosciences,https://www.crunchbase.com/organization/novadip-biosciences,Series A,"€28,000,000",9/10/2015,5,
Therachon's Series A,https://www.crunchbase.com/funding-round/bb557f4bdac6d8f4a78ce4924215380e,Therachon,https://www.crunchbase.com/organization/therachon,Series A,"$35,000,000 ",9/30/2015,4,
Magnesium Development Company's Seed Round,https://www.crunchbase.com/funding-round/83f85a2aa7fc671d0357925c55b52361,Magnesium Development Company,https://www.crunchbase.com/organization/magnesium-development-company,Seed,"$1,000,000 ",3/21/2016,3,
Madison Vaccines' Series A,https://www.crunchbase.com/funding-round/413da5d9d56ecc9f269623834767d9f1,Madison Vaccines,https://www.crunchbase.com/organization/madison-vaccines,Series A,"$8,000,000 ",1/13/2014,3,
Madison Vaccines' Series A,https://www.crunchbase.com/funding-round/8dcbdc477133a91d024c491045acbf3b,Madison Vaccines,https://www.crunchbase.com/organization/madison-vaccines,Series A,"$3,000,000 ",3/10/2015,1,
Fortus Medical's Venture Round,https://www.crunchbase.com/funding-round/b72db2821f2a6d351f87860a09ce1b09,Fortus Medical,https://www.crunchbase.com/organization/fortus-medical,Series Unknown,"$1,400,000 ",6/30/2014,1,
Ouro_botics' Venture Round,https://www.crunchbase.com/funding-round/c8cb3a572748165f3d8e243d84c7ac5e,Ouro_botics,https://www.crunchbase.com/organization/ouro-botics,Series Unknown,,12/12/2014,1,
OrthoMend Corporation's Equity Crowdfunding,https://www.crunchbase.com/funding-round/cb208f54c4784874a949772509f3815f,OrthoMend Corporation,https://www.crunchbase.com/organization/orthomend-corporation,Equity Crowdfunding,,12/15/2014,,
Ankasa Regenerative Therapeutics' Series A,https://www.crunchbase.com/funding-round/3effd6ccf453f9581a9574f7095d3806,Ankasa Regenerative Therapeutics,https://www.crunchbase.com/organization/ankasa-regenerative-therapeutics,Series A,"$8,500,000 ",6/23/2015,3,
Bioventus' Debt Financing,https://www.crunchbase.com/funding-round/81a002810ca44c682ed76221b4a931b6,Bioventus,https://www.crunchbase.com/organization/bioventus,Debt Financing,"$12,000,000 ",10/28/2014,1,
Synergy Biomedical's Venture Round,https://www.crunchbase.com/funding-round/e22f0a3233b95e7a71cb80b6cec74af6,Synergy Biomedical,https://www.crunchbase.com/organization/synergy-biomedical,Series Unknown,"$412,212 ",7/24/2012,,
Synergy Biomedical's Venture Round,https://www.crunchbase.com/funding-round/2a569afe9a216e68574bc52b9f9dbfda,Synergy Biomedical,https://www.crunchbase.com/organization/synergy-biomedical,Series Unknown,"$200,000 ",9/30/2011,,
Synergy Biomedical's Venture Round,https://www.crunchbase.com/funding-round/94c9b7b4d05e4f4ac4e33d269e9b5dba,Synergy Biomedical,https://www.crunchbase.com/organization/synergy-biomedical,Series Unknown,"$611,900 ",3/5/2014,,
Magdent's Seed Round,https://www.crunchbase.com/funding-round/946ca1a929a5c5edce6949b801f23493,Magdent,https://www.crunchbase.com/organization/magdent,Seed,"$800,000 ",4/1/2016,,
Novadip Biosciences' Series A,https://www.crunchbase.com/funding-round/1d16f8d72114e233ad82f503d26d4586,Novadip Biosciences,https://www.crunchbase.com/organization/novadip-biosciences,Series A,"€28,000,000",9/10/2015,5,
EpiBone's Grant,https://www.crunchbase.com/funding-round/5c03bc2482b8bd44340a7308f8424b9b,EpiBone,https://www.crunchbase.com/organization/epibone,Grant,,6/12/2014,2,
Thinking Robot Studios' Venture Round,https://www.crunchbase.com/funding-round/7c6025c9383343148fb036e17954ccb6,Thinking Robot Studios,https://www.crunchbase.com/organization/thinking-robot-studios,Series Unknown,"$35,000,000 ",10/26/2015,,
EpiBone's Convertible Note,https://www.crunchbase.com/funding-round/6073dc4ec16a66881b78768e3b7fe4ae,EpiBone,https://www.crunchbase.com/organization/epibone,Convertible Note,"$560,000 ",10/1/2016,1,
