Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Canopy,https://www.crunchbase.com/organization/pack-purchase,"Information Technology, Software","Raleigh, North Carolina, United States","Canopy is a revolutionary approach to simplify home management in the fields of landscaping, pest control, and exterior cleaning","17,807",Operating,1/1/2014,,,https://www.trycanopy.com,https://www.twitter.com/canopylawncare,https://www.facebook.com/canopylawncare,,hello@trycanopy.com,(919) 261-1693,"Information Technology, Software",,10-Jan,9/9/2015,"$1,500,000 ","$1,500,000 ","$1,909,535 ","$1,909,535 ",4,0.4,0.5,0
"Cuttly, Inc.",https://www.crunchbase.com/organization/cuttly-inc,"Apps, Information Technology, Software, Mobile","Fort Wayne, Indiana, United States",The Cuttly app connects busy homeowners with service professionals and we're starting with lawn mowing.,,Operating,3/1/2014,,,http://www.cuttly.com,https://twitter.com/cuttlyapp,https://www.facebook.com/cuttly,https://www.linkedin.com/company/cuttly-inc-?trk=company_logo,cuttlypro@cuttly.com,+1 (260) 449-5015,"Professional Services, Information Technology, Mobile Apps",1,Nov-50,,,,,,,0.6,2.9,1.9
GreenPal,https://www.crunchbase.com/organization/greenpal,"Apps, Software, Mobile","Nashville, Tennessee, United States",GreenPal is a mobile and web application that connects house owners with lawn care professionals.,"33,136",Operating,5/1/2012,,6,http://yourgreenpal.com,http://twitter.com/yourgreenpal,http://www.facebook.com/pages/GreenPal/495779490484818,http://www.linkedin.com/company/3785681,support@yourgreenpal.com,(615) 663-1180,"Consumer, Web Apps, Mobile",1,10-Jan,5/1/2013,"$250,000 ","$250,000 ","$250,000 ","$250,000 ",,0.2,0,-0.4
Kobi,https://www.crunchbase.com/organization/kobi-2,"Science and Engineering, Hardware, Consumer Electronics, Real Estate, Software","New York, New York, United States",A fully autonomous multifunctional robot for yard work,"73,648",Operating,1/1/2015,,4,http://thekobi.com/,https://twitter.com/TheKobiCompany,https://www.facebook.com/TheKobiCompany/,https://www.linkedin.com/company/12906909,,1(888)938-4356,"Robotics, Home Automation",,10-Jan,,,,,,,-0.1,,
Lawn Love,https://www.crunchbase.com/organization/lawn-love,"Real Estate, Internet Services","San Diego, California, United States",Lawn Love is an online lawn service and care provider.,"11,593",Operating,1/1/2014,,1,http://lawnlove.com/,http://twitter.com/lawnlove,http://www.facebook.com/lawnlove/info,http://www.linkedin.com/company/lawn-love,,(800) 706-4117,"Landscaping, Internet, Service Industry",1,Nov-50,11/12/2014,"$1,900,000 ","$1,900,000 ","$1,900,000 ","$1,900,000 ",20,0.2,-0.3,-1.1
LawnStarter,https://www.crunchbase.com/organization/lawnstarter,Internet Services,"Austin, Texas, United States",LawnStarter is the easiest way to order lawn care.,"4,171",Operating,8/25/2013,,20,http://lawnstarter.com,http://twitter.com/lawnstarter,http://www.facebook.com/lawnstarter,http://www.linkedin.com/company/3280182,steve@lawnstarter.com,(703) 951-3163,"Collaborative Consumption, Customer Service, Internet",3,10-Jan,6/2/2015,"$6,000,000 ","$6,000,000 ","$7,225,500 ","$7,225,500 ",8,-0.1,0.4,1.6
PLOWZ & MOWZ,https://www.crunchbase.com/organization/plowz-mowz,"Platforms, Software, Mobile","New York, New York, United States",On Demand Lawn Mowing & Snow Plowing,"11,208",Operating,1/1/2014,,78,http://www.plowzandmowz.com,http://twitter.com/plowzapp,http://www.facebook.com/plowzapp,https://www.linkedin.com/company/caribou-apps,hello@plowz.com,(800) 489-8128,"Android, iOS",2,Nov-50,8/26/2016,"$1,500,000 ","$1,500,000 ","$1,500,000 ","$1,500,000 ",1,0,-0.3,-2.9
"TaskEasy, Inc.",https://www.crunchbase.com/organization/taskeasy,"Commerce and Shopping, Software","Salt Lake City, Utah, United States","TaskEasy is an on-demand services company that makes it easy to price, order and manage exterior maintenance online anywhere in the US.","5,608",Operating,11/15/2011,,6,http://taskeasy.com/,http://twitter.com/taskeasy,http://www.facebook.com/taskeasy,https://www.linkedin.com/company/taskeasy,help@taskeasy.com,(800)518-4461,"Shopping, E-Commerce, Software",2,101-250,4/26/2016,"$12,000,000 ","$12,000,000 ","$23,891,250 ","$23,891,250 ",10,0.1,-0.2,-0.8
Wellbots,https://www.crunchbase.com/organization/wellbots,"Hardware, Commerce and Shopping, Consumer Electronics, Administrative Services, Internet Services","New York, New York, United States",Wellbots is the leading online retailer of smart connected products in the USA and in Canada.,"73,626",Operating,1/1/2013,,,http://www.wellbots.com/,https://twitter.com/wellbots,https://www.facebook.com/wellbots,https://www.linkedin.com/company/wellbots,contact@wellbots.com,(646)741-2067,"Delivery, Retail, E-Commerce, Consumer Electronics, Internet",2,10-Jan,,,,,,,-0.2,-0.3,-0.3
Zeelfa,https://www.crunchbase.com/organization/zeelfa,"Health Care, Internet Services","Dallas, Texas, United States",Zeelfa provides users with referrals for a wide variety of services and products.,,Operating,10/1/2012,,,http://www.zeelfa.com,,,,admin@zeelfa.com,,"Social Network, Service Industry, Medical",2,10-Jan,,,,,,,-0.3,1.3,2.3
