Investor,Round(s),Partner(s),Company
Cofounders Capital,Seed,-,Canopy
Great Oaks Venture Capital,Seed,-,Canopy
IDEA Fund Partners,Seed (Lead),-,Canopy
Lowe’s,Seed,-,Canopy
Alexis Ohanian,Seed,-,Lawn Love
Allegro Venture Partners,Seed,-,Lawn Love
Bodley Group,Seed,-,Lawn Love
Colin Morgan,Seed,-,Lawn Love
David Shen Ventures,Seed,-,Lawn Love
FundersClub,Seed,-,Lawn Love
Gang Wang,Seed,-,Lawn Love
Haroon Mokhtarzada,Seed,-,Lawn Love
Jared Friedman,Seed,-,Lawn Love
Kevin Moore,Seed,-,Lawn Love
LaunchCapital,Seed,-,Lawn Love
Launch Capital,Seed,-,Lawn Love
Lunch Van Fund,Seed,-,Lawn Love
NEXT Level Capital,Seed,-,Lawn Love
Peter Kazanjy,Seed,-,Lawn Love
Binary Capital,Series A (Lead),-,LawnStarter
Cotter Cunningham,Seed,-,LawnStarter
Gary Vaynerchuk,Seed,-,LawnStarter
Right Side Capital Management,Convertible Note,-,LawnStarter
Rob Taylor,Seed,-,LawnStarter
Rony Kahan,Seed,-,LawnStarter
Techstars,Convertible Note,-,LawnStarter
Vayner/RSE,Seed,-,LawnStarter
Science,Seed (Lead),-,PLOWZ & MOWZ
Access Venture Partners,Series A,-,TaskEasy
Access Venture Partners,Series B,-,TaskEasy
Camber Creek,Series A,-,TaskEasy
Delta Electronics Capital,Series B (Lead),-,TaskEasy
Grotech Ventures,Series A,Lawson DeVries,TaskEasy
Grotech Ventures,Series B,Lawson DeVries,TaskEasy
Kickstart Seed Fund,Seed,-,TaskEasy
Kickstart Seed Fund,Series A,-,TaskEasy
Kickstart Seed Fund,Series B,-,TaskEasy
Michael Beaudoin,Series A,-,TaskEasy
Moderne Ventures,Series B,Constance Freedman,TaskEasy
Service Provider Capital,Series A,-,TaskEasy
Groupon,Venture (Lead),-,ClubLocal
e.ventures,Seed (Lead),-,Codefied
Elevate Ventures,Seed,Ting Gootee,Haven
Innovate Indiana Fund,Seed,Ken Green,Haven
