Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
ASKET,https://www.crunchbase.com/organization/asket,"Commerce and Shopping, Design","Stockholm, Stockholms Lan, Sweden",A timeless t-shirt made to fit.,,Operating,01/01/2015,,,https://www.asketsthlm.com,http://www.twitter.com/asketsthlm,http://www.facebook.com/asketsthlm,https://www.linkedin.com/company/asket,,,"Fashion, E-Commerce",2,1-10,,,,,,,-0.3,0.1,2.8
Assra Creation,https://www.crunchbase.com/organization/assra-creation,"Commerce and Shopping, Design","New Delhi, Delhi, India","Assra Creation Promotions trusts that victorious advertising are founded on inspired solutions, competitive price points.",,Operating,10/14/2011,,,http://www.assracreation.com,http://twitter.com/assracreation,http://www.facebook.com/pages/Assra-Creation/347855745245032,,,,"Fashion, E-Commerce, Retail",,,,,,,,,-0.7,-0.4,0.8
Bombay Shirt Company,https://www.crunchbase.com/organization/bombay-shirt-company,"Commerce and Shopping, Community and Lifestyle, Design","Bombay, Maharashtra, India",Bombay Shirt Company is the first online custom shirt brand in India.,"17,170",Operating,01/01/2012,,2,http://bombayshirts.com,https://twitter.com/Bombayshirts,https://www.facebook.com/BombayShirts,https://www.linkedin.com/company/bombay-shirt-company,orders@bombayshirts.com,+918879621003,"Social Shopping, Lifestyle, Fashion",1,11-50,06/13/2016,"$984,413","$984,413","$984,413","$984,413",1,-0.5,-0.2,-0.9
Bonfire Funds,https://www.crunchbase.com/organization/bonfire-funds,"Commerce and Shopping, Design","Glen Allen, Virginia, United States",Online T-Shirt Fundraising Platform,,Operating,12/01/2011,,,http://bonfirefunds.com,http://twitter.com/BonfireFunds,http://www.facebook.com/bonfirefunds,,wow@bonfirefunds.com,804-677-0947,"Non Profit, Fashion, E-Commerce",,11-50,,,,,,,-0.6,-0.7,-0.3
Boombit,https://www.crunchbase.com/organization/boombit,"Commerce and Shopping, Media and Entertainment, Design",,Boombit is a creative digital publisher that works mostly with mobile applications.,,Operating,04/01/2012,,,http://www.letsboombit.com,http://twitter.com/BoombitStudio,https://www.facebook.com/letsboombit,http://www.linkedin.com/company/boombit,media@letsboombit.com,+505 8373 3397,"Collectibles, Art, Fashion, E-Commerce",2,1-10,,,,,,,1.2,0.7,-1.4
Broadcast Wear,https://www.crunchbase.com/organization/broadcast-wear,"Hardware, Commerce and Shopping, Consumer Electronics, Design","Hyderabad, Andhra Pradesh, India","Love your new design/text? Save it to the app’s library, and use it whenever you want. Multiple designs for a single t shirt!","35,735",Operating,01/01/2016,,,http://www.broadcastwear.com/,https://twitter.com/broadcastwear,https://www.facebook.com/broadcastwear/,https://www.linkedin.com/company/broadcast-wearables-pvt-ltd,,,"Wearables, Fashion, Retail",1,1-10,06/27/2016,"$120,000","$120,000","$120,000","$120,000",,-0.1,-0.1,-0.3
Cerise Custom Sirts,https://www.crunchbase.com/organization/cerise-custom-sirts,Design,,"Cerise Custom Shirts is superb custom tailored shirt fabrics, fine stitching quality, perfect fit, and fast shirt delivery.",,Operating,03/13/2013,,,http://www.cerisecustomshirts.com,http://twitter.com/CeriseShirts,http://www.facebook.com/CeriseShirts,,customdressshirts@yahoo.com,845-217-2642,Fashion,,1-10,,,,,,,-0.4,0.7,0.1
Collar Club,https://www.crunchbase.com/organization/collar-club,Design,"London, England, United Kingdom",Collar Club is a shirt subscription service for the modern gentleman.,"43,241",Operating,01/01/2014,,,http://www.collarclub.com/,https://twitter.com/collarclubldn,https://www.facebook.com/collarclublondon,,hello@collarclub.com,+08446931786,Fashion,1,1-10,02/04/2015,"$450,000","$450,000","$450,000","$450,000",,-0.3,-0.1,-0.5
customdressshirts US,https://www.crunchbase.com/organization/customdressshirts-us,Design,"New York, New York, United States",Custom Dress Shirts specializes in custom dress shirts expertly tailored to an individual's body using the best fabrics available.,,Operating,02/02/2012,,1,http://customdressshirts.us,http://twitter.com/CeriseShirts,https://www.facebook.com/ceriseshirts,,redfiedchris@yahoo.com,325-368-6237,Fashion,,11-50,,,,,,,-0.5,0.9,0.3
Designhill.com,https://www.crunchbase.com/organization/designhill-com,Design,"New Delhi, Delhi, India",Designhill.com is an online crowdsourcing platform that helps business or entrepreneurs find graphic design artists for hire.,"79,348",Operating,10/01/2014,,1,http://www.designhill.com,http://twitter.com/designhilldh,https://www.facebook.com/designhilldh,http://www.linkedin.com/company/designhill,Director@relesol.com,+1 (888) 701-8872,"Graphic Design, Web Design, Crowdsourcing",2,11-50,,,,,,,-0.2,-0.3,-0.5
Designsauthority,https://www.crunchbase.com/organization/designsauthority,Design,,"Company that is part os SofterDreams LLc incorporated in Uganda. Deals in website designs, Graphics designs, Logo designs and more designs",,Operating,01/08/2015,,,http://www.designsauthority.com,https://twitter.com/webofdesigns,https://www.facebook.com/designsauthority,,softerdreams@gmail.com,(702)529-926,Graphic Design,,1-10,,,,,,,1.8,1.8,0.7
Double R by Ravi Ratan,https://www.crunchbase.com/organization/double-r-by-ravi-ratan,"Commerce and Shopping, Design","Dallas, Texas, United States",Online bespoke shirtmaker for women.,,Operating,08/01/2013,,,http://www.doubleR.com,http://twitter.com/doublerbrand,http://www.facebook.com/doubleRbrand,,info@doubler.com,+1 (214) 360-7723,"Fashion, E-Commerce, Retail",1,1-10,,,,,,,1.0,2.4,2.5
Goathlos,https://www.crunchbase.com/organization/goathlos,"Hardware, Consumer Electronics, Sports, Design","Mumbai, Maharashtra, India","Anti-Odor, lightweight, and eco-friendly shirt designed to inspire the athlete in you.",,Operating,02/10/2015,,,http://www.goathlos.com/,https://www.twitter.com/goathlos,https://www.facebook.com/goathlos,,pravin.dhake@goathlos.com,,"Fitness, Wearables, Fashion",,1-10,,,,,,,0.4,1.0,0.0
Grafitee,https://www.crunchbase.com/organization/grafitee,"Commerce and Shopping, Design","Courbevoie, Ile-de-France, France",Global marketplace specialized in independent graphic t-shirt brands,,Operating,09/15/2014,,2,https://grafitee.co,https://www.twitter.com/grafitee_uk,https://www.facebook.com/grafitee.uk,,,,"Shopping, Fashion",,1-10,,,,,,,-0.6,0.2,-0.9
InstaTee™,https://www.crunchbase.com/organization/instatee,"Platforms, Commerce and Shopping, Software, Consumer Goods, Design, Mobile","Santa Monica, California, United States","InstaTee is to access pics directly from your instagram account, albums, or take a photos within the app.",,Operating,03/01/2013,,,http://www.instateeapp.com,http://twitter.com/InstaTee,,,press@instateeapp.com,424-276-6593,"DIY, iOS, Fashion, E-Commerce, Mobile",,1-10,,,,,,,-0.1,0.1,0.4
InStitchu,https://www.crunchbase.com/organization/institchu,"Commerce and Shopping, Design","Sydney, New South Wales, Australia",InStitchu is a tailoring service online offers eTailored Suits & Shirts Delivered directly to your door Worldwide shipping.,"92,739",Operating,01/01/2011,,,http://www.institchu.com,http://twitter.com/InStitchu,http://www.facebook.com/InStitchu,,contact@institchu.com,+61 2 9222 2801,"Fashion, E-Commerce",2,11-50,10/30/2013,,,,,1,0.1,-0.4,-0.8
Lewis and Taylor,https://www.crunchbase.com/organization/lewis-and-taylor,Design,"Mong Kok, Kowloon, Hong Kong",Lewis and Taylor is a company that specializes in clothing and custom-made shirts for men.,,Operating,01/01/2012,,,http://www.lewistaylorshirts.com,https://twitter.com/Rossiter_Ed,https://www.facebook.com/pages/Lewis-Taylor-Shirt-Makers/496350960384218,https://www.linkedin.com/company/lewis-&-taylor---custom-shirt-makers,,,Fashion,1,1-10,,,,,,,1.3,1.7,1.9
Lewk,https://www.crunchbase.com/organization/lewk,Design,"Minneapolis, Minnesota, United States","Sharp, premium menswear delivered right to your doorstep.","74,073",Operating,01/01/2015,,1,https://www.lewk.com,https://twitter.com/LewkOfficial,https://www.facebook.com/LEWK,https://www.linkedin.com/company/lewk,info@lewk.com,+1 (612) 200-8647,Fashion,2,1-10,,,,,,,-0.1,-0.5,-0.6
libberati.com,https://www.crunchbase.com/organization/libberati-com,"Commerce and Shopping, Design","Hong Kong, Hong Kong Island, Hong Kong","What if buying a t shirt was like buying a piece of art where only you own something unique, something different from what others wear.",,Operating,04/01/2013,,1,http://www.libberati.com,http://twitter.com/libberati,,,mr_partha@hotmail.com,,"Fashion, E-Commerce",1,1-10,,,,,,,-0.6,1.8,1.4
Milemma,https://www.crunchbase.com/organization/milemma,"Media and Entertainment, Consumer Goods, Internet Services, Design","London, England, United Kingdom","Milemma is a social media outlet that lets people discuss thing like what to wear, where to go and any other small discussion.",,Operating,01/01/2013,,,http://www.milemma.com,http://twitter.com/yourmilemma,http://www.facebook.com/yourmilemma,,promo@milemma.com,,"Beauty, Fashion, Internet, Social Media",,1-10,,,,,,,-0.5,0.6,-0.1
Mizzen+Main,https://www.crunchbase.com/organization/mizzen-main,"Commerce and Shopping, Design","Dallas, Texas, United States","American-made, moisture wicking, wrinkle-free men's dress shirts that blend class and comfort.","8,959",Operating,01/01/2012,,8,http://mizzenandmain.com/,http://twitter.com/MizzenAndMain,http://www.facebook.com/MizzenAndMain,http://www.linkedin.com/company/mizzen-main,info@mizzenandmain.com,(877)958-9626,"Fashion, E-Commerce, Retail",1,11-50,04/07/2016,"$3,000,000","$3,000,000","$4,550,000","$4,550,000",8,-0.1,-0.2,-0.4
Moxxly,https://www.crunchbase.com/organization/moxxly-inc-,"Hardware, Software, Health Care, Internet Services, Design","San Francisco, California, United States",Moxxly designs smart products for modern moms. First up: the breast pump!,"53,369",Operating,08/01/2014,,2,http://www.moxxly.com,https://twitter.com/moxxlyinc,https://www.facebook.com/moxxly,https://www.linkedin.com/company/moxxly?trk=ppro_cprof,,,"Product Design, Hardware, Internet of Things, Health Care, Software",3,1-10,09/02/2015,,,,,10,-0.1,-0.2,-0.3
MTailor,https://www.crunchbase.com/organization/mtailor,"Commerce and Shopping, Design","San Francisco, California, United States",Made to measure dress shirts via iPad,"7,213",Operating,01/01/2013,,2,http://mtailor.com,,,,,,"Fashion, E-Commerce",2,,10/23/2014,"$2,000,000","$2,000,000","$2,120,000","$2,120,000",4,0.2,-0.5,-0.8
On Point Screenprinting,https://www.crunchbase.com/organization/on-point-screenprinting,"Commerce and Shopping, Design","Pomona, California, United States",On Point Screenprinting is a T-shirt printing company specializing in hip hop arts and the auto cultures.,,Operating,05/13/2011,,,http://OnPointscreenprinting.com,,,,info@onpointscreenprinting.com,909-287-4881,"Fashion, E-Commerce",,1-10,,,,,,,-0.7,-0.4,-1.3
Pistol Lake,https://www.crunchbase.com/organization/pistol-lake,Design,"Los Angeles, California, United States","Pistol Lake is the shirt you never throw away, the show you'll never forget, a '72 Shovelhead, a monster beard, giving your boss the bird",,Operating,01/01/2012,,,http://pistollake.com,http://twitter.com/PistolLake,https://www.facebook.com/pistollake,,hello@pistollake.com,(310) 651-8224,Fashion,,11-50,,,,,,,0.3,0.3,-0.5
