Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Appear Here's Seed Round,https://www.crunchbase.com/funding-round/032a7d37ab74f83fa84044cdf54f7309,Appear Here,https://www.crunchbase.com/organization/appear-here,Seed,"$1,900,000",11/22/2013,11,
Combatant Gentlemen's Seed Round,https://www.crunchbase.com/funding-round/4720e2c49d1ca92abcac8ef60b23a0da,Combatant Gentlemen,https://www.crunchbase.com/organization/combatant-gentlemen,Seed,"$1,840,000",06/19/2013,8,
Moxxly's Seed Round,https://www.crunchbase.com/funding-round/df42bdf0013d5596a51dd7807a306989,Moxxly,https://www.crunchbase.com/organization/moxxly-inc-,Seed,,06/15/2015,9,
Snaptee's Seed Round,https://www.crunchbase.com/funding-round/dce69825e06ad528c5e45909e9186042,Snaptee,https://www.crunchbase.com/organization/snapteeapp,Seed,"$600,000",02/27/2013,6,
Appear Here's Series A,https://www.crunchbase.com/funding-round/bb75c93c81f5675ca3b6ed855b7f6eca,Appear Here,https://www.crunchbase.com/organization/appear-here,Series A,"$7,500,000",11/26/2014,6,
Mizzen+Main's Series B,https://www.crunchbase.com/funding-round/803595939d9e647a71d3e3f6b71a3924,Mizzen+Main,https://www.crunchbase.com/organization/mizzen-main,Series B,"$3,000,000",04/07/2016,5,
Snaptee's Seed Round,https://www.crunchbase.com/funding-round/6ee40df5f46a35fabdb337e6b13523bc,Snaptee,https://www.crunchbase.com/organization/snapteeapp,Seed,"$750,000",09/02/2014,5,
Shoes4you's Series A,https://www.crunchbase.com/funding-round/7be3c04e7be8294115fadff365ad96dd,Shoes4you,https://www.crunchbase.com/organization/shoes4you,Series A,,09/01/2011,4,
basico.com's Seed Round,https://www.crunchbase.com/funding-round/465f073da6ef972037e9e26d6864287c,basico.com,https://www.crunchbase.com/organization/basico-com,Seed,"$500,000",03/01/2013,3,
We Are Knitters' Seed Round,https://www.crunchbase.com/funding-round/c905edffb82aff6d73c1af44d1c0d5fb,We Are Knitters,https://www.crunchbase.com/organization/we-are-knitters,Seed,"$150,000",05/14/2013,3,
Hey Gorgeous' Seed Round,https://www.crunchbase.com/funding-round/84248a4a72b189f12b33793787f7db8c,Hey Gorgeous,https://www.crunchbase.com/organization/hey-gorgeous,Seed,,02/19/2014,3,
Litographs' Convertible Note,https://www.crunchbase.com/funding-round/80dead99e52bd5a57f1809a13525884f,Litographs,https://www.crunchbase.com/organization/litographs,Convertible Note,"$100,000",01/27/2014,4,
SON OF A TAILOR's Funding Round,https://www.crunchbase.com/funding-round/7e4b19ad2f88f576519481298fc01f15,SON OF A TAILOR,https://www.crunchbase.com/organization/son-of-a-tailor,Funding Round,,07/14/2016,2,
MTailor's Seed Round,https://www.crunchbase.com/funding-round/a603784275a7759af0d30d0a1255795e,MTailor,https://www.crunchbase.com/organization/mtailor,Seed,"$120,000",08/14/2014,2,
Mizzen+Main's Series A,https://www.crunchbase.com/funding-round/fb38d299b45e921930142a9d9691e1a3,Mizzen+Main,https://www.crunchbase.com/organization/mizzen-main,Series A,"$1,200,000",08/28/2014,2,
MTailor's Venture Round,https://www.crunchbase.com/funding-round/e57b3f373ab6701a1d1302ad887373b9,MTailor,https://www.crunchbase.com/organization/mtailor,Series Unknown,"$2,000,000",10/23/2014,2,
