Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Status,Founded Date,Closed Date,Number of Articles,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount,Number of Investors,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
Accel Diagnostics,https://www.crunchbase.com/organization/accel-diagnostics,Health Care,"Pittsburgh, Pennsylvania, United States","Accel Diagnostics is developing a lab-on-chip protein diagnostic platform that enables inexpensive, disposable, credit-card sized devices","30,938",Operating,01/01/2012,,2,http://acceldx.com,http://twitter.com/acceldx,,http://www.linkedin.com/company/accel-diagnostics,info@acceldx.com,832-641-1900,"Health Diagnostics, Medical Device, Medical, Health Care",1,1-10,05/04/2016,,,"$25,000","$25,000",3,-0.2,-0.4,-0.5
Aidin,https://www.crunchbase.com/organization/aidin,"Software, Health Care","New York, New York, United States","Aidin integrates the discharge planning workflow to social workers from administrative tasks, and re-center their time around patients.","20,503",Operating,01/01/2011,,9,http://www.myaidin.com,http://twitter.com/myaidin,,,info@myaidin.com,,"Health Care, Software",3,1-10,06/16/2012,"$600,000","$600,000","$600,000","$600,000",6,-0.3,-0.4,-0.3
All Clear Diagnostics,https://www.crunchbase.com/organization/all-clear-diagnostics,Health Care,"El Sobrante, California, United States","All Clear Diagnostics invent elegant, state of the art technology products to drive diagnostic improvements, reduce costs and increase.",,Operating,04/15/2012,,,http://www.allcleardiagnostics.com/,,,,,,Medical,,1-10,09/05/2015,,,,,,0.4,0.0,-0.4
ApolloMed,https://www.crunchbase.com/organization/apollomed,"Sports, Health Care","Glendale, California, United States",ApolloMed provides medical management services that improve the efficiency in inpatient and multi-disciplinary care management services.,"21,497",Operating,01/01/2012,,4,http://apollomed.net,,,,,818-396-8050,"Fitness, Medical, Health Care",,11-50,04/01/2016,"$5,000,000","$5,000,000","$18,155,000","$19,155,000",1,0.2,-0.2,-0.7
"AreteX Systems, Inc.",https://www.crunchbase.com/organization/aretex-engineering,Health Care,"Hoboken, New Jersey, United States","AreteX Systems, Inc. is a U.S.-based company that improves the use of information technology in healthcare.","37,057",Operating,01/01/2013,,,http://www.aretexeng.com,,,,,,"Medical, Health Care",2,1-10,04/01/2015,"$750,000",,,"$1,000,000",,0.0,-0.1,0.1
Assesspatients,https://www.crunchbase.com/organization/assesspatients,"Sports, Health Care, Mobile","Dublin, Dublin, Ireland",Empowering multidisciplinary care teams deliver better care to the older community,,Operating,07/06/2013,,,http://www.assesspatients.com,http://twitter.com/somomedical,,http://www.linkedin.com/company/3158425,rbowden@assesspatients.com,+35314434375,"Health Diagnostics, Fitness, Medical, Mobile, Health Care",,1-10,,,,,,,1.1,0.9,-0.7
BioLucid,https://www.crunchbase.com/organization/biolucid,"Hardware, Software, Health Care","Sarasota, Florida, United States",BioLucid is a developer of virtual reality and immersive healthcare technology.,"76,394",Was Acquired,01/01/2011,,,http://www.biolucid.com/,,https://www.facebook.com/biolucid,https://www.linkedin.com/company/lucid-global,info@lucidglobal.com,+1 (941) 893-4400,"Virtual Reality, Health Care, Software",,11-50,,,,,,,-0.6,-1.6,
Bioscape Digital,https://www.crunchbase.com/organization/bioscape-digital-2,Health Care,"Atlanta, Georgia, United States",Bioscape Digital is a patient engagement platform that delivers relevant information into health systems utilizing tablet based technology.,,Operating,01/01/2012,,3,http://www.bioscapedigital.com,http://twitter.com/bioscapedigital,http://www.facebook.com/bioscapedigital,http://www.linkedin.com/company/bioscape-digital,,,"Real Time, Health Care",,,,,,,,,0.2,0.7,-0.1
Boondoc,https://www.crunchbase.com/organization/boondoc,"Software, Health Care","Bedford, Nova Scotia, Canada","Boondoc is an online ecosystem that will expedite collaboration among Canadian physicians. To be a member of Boondoc, a physician must","34,238",Operating,06/06/2012,,,http://www.boondoc.ca,https://www.twitter.com/therounds,https://www.facebook.com/theroundscanada,,info@boondoc.ca,(902) 403-2880,"Health Care, Software",1,1-10,06/17/2016,"$1,500,000","$1,500,000","$1,504,000","$1,504,000",1,0.8,2.4,2.1
Care1 Urgent Care,https://www.crunchbase.com/organization/care1-urgent-care,Health Care,"Mill Hall, Pennsylvania, United States",Our company has been in business since June 2013. We have had continual growth since that time.,"83,891",Operating,05/01/2013,,,http://www.care1uc.com,,,,,,Medical,,1-10,02/09/2014,"$60,000","$60,000","$60,000","$60,000",,-0.3,0.0,0.0
