Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Enterprise Therapeutics' Venture Round,https://www.crunchbase.com/funding-round/745232fa44b1fec7e61e9016e55a5db6,Enterprise Therapeutics,https://www.crunchbase.com/organization/enterprise-therapeutics,Series Unknown,"£4,000,000",11/10/2016,2,
Wellthy's Seed Round,https://www.crunchbase.com/funding-round/553a80a3b6aee1df5ce048d0b637a92f,Wellthy,https://www.crunchbase.com/organization/wellthy-2,Seed,"$2,000,000",10/21/2016,4,
Care/of's Seed Round,https://www.crunchbase.com/funding-round/ee25ebd716b594c005ac6d436c47d532,Care/of,https://www.crunchbase.com/organization/care-of,Seed,"$3,000,000",11/23/2016,2,
Noona Healthcare's Seed Round,https://www.crunchbase.com/funding-round/6a821af508eb42102ab9358e4d410b0d,Noona Healthcare,https://www.crunchbase.com/organization/noona-healthcare,Seed,"€1,500,000",11/23/2016,3,
Doctible's Non Equity Assistance,https://www.crunchbase.com/funding-round/c3cf0b55e16e59b9ffcec375bac0931c,Doctible,https://www.crunchbase.com/organization/doctible,Non-equity Assistance,,11/01/2014,1,
Selency's Series A,https://www.crunchbase.com/funding-round/3f39af66fe9f19e6a6818f555804532e,Selency,https://www.crunchbase.com/organization/brocante-lab,Series A,"€3,000,000",10/26/2016,2,
knok healthcare's Seed Round,https://www.crunchbase.com/funding-round/bf899e48f0fe00bfaee5ed344d483e6a,knok healthcare,https://www.crunchbase.com/organization/knok-healthcare,Seed,"£300,000",11/09/2016,,
Baroo's Seed Round,https://www.crunchbase.com/funding-round/336eb29f2f605d8705a5f5de26d20d01,Baroo,https://www.crunchbase.com/organization/baroo,Seed,"$2,250,000",10/14/2016,5,
Moov's Series B,https://www.crunchbase.com/funding-round/abd1be0381f68bfd585cae8c138b39b9,Moov,https://www.crunchbase.com/organization/moov-cc,Series B,"$12,000,000",10/19/2016,2,
Doctible's Seed Round,https://www.crunchbase.com/funding-round/982794a99b5075337a2fb95767ba2a53,Doctible,https://www.crunchbase.com/organization/doctible,Seed,"$2,000,000",11/03/2016,2,
"Embodied, Inc.'s Seed Round",https://www.crunchbase.com/funding-round/8a12f3d1d49f50665ceb93c3e89ab8ed,"Embodied, Inc.",https://www.crunchbase.com/organization/embodied-inc,Seed,,10/25/2016,1,
Axial Healthcare's Series B,https://www.crunchbase.com/funding-round/7ca35478b481e83da83242d526b4282c,Axial Healthcare,https://www.crunchbase.com/organization/axial-healthcare,Series B,"$16,500,000",10/12/2016,4,
Anthem-Epoch's Venture Round,https://www.crunchbase.com/funding-round/32d0df96c4f9bcd80e573d3e31c1182a,Anthem-Epoch,https://www.crunchbase.com/organization/anthem-epoch,Series Unknown,"$5,000,000",10/24/2016,2,
Finrise's Seed Round,https://www.crunchbase.com/funding-round/8155102ab37d7c4cfe90ab03d8a4fa45,Finrise,https://www.crunchbase.com/organization/finrise-inc,Seed,"$5,300,000",10/19/2016,9,
Thrive Market's Convertible Note,https://www.crunchbase.com/funding-round/95556804da46e2bbec331f440e992a78,Thrive Market,https://www.crunchbase.com/organization/thrive-market,Convertible Note,"$10,000,000",10/18/2016,,
EnXray's Series B,https://www.crunchbase.com/funding-round/4fd249a031657882f768948108c14793,EnXray,https://www.crunchbase.com/organization/enxray,Series B,"$1,000,000",10/18/2016,1,
EnXray's Debt Financing,https://www.crunchbase.com/funding-round/2d96a406f65196834c474011aa3440eb,EnXray,https://www.crunchbase.com/organization/enxray,Debt Financing,"$2,000,000",10/18/2016,,
Tribute Pharmaceuticals Canada's Post-IPO Equity,https://www.crunchbase.com/funding-round/e3588966209a89efb93bda12a4660360,Tribute Pharmaceuticals Canada,https://www.crunchbase.com/organization/tribute-pharmaceuticals-canada,Post-IPO Equity,"$27,900,000",08/25/2014,2,
Pager's Venture Round,https://www.crunchbase.com/funding-round/90e8b7e2cf3cc21a1131827394e4872c,Pager,https://www.crunchbase.com/organization/pager,Series Unknown,"$5,214,082",10/03/2016,2,
Zesty's Seed Round,https://www.crunchbase.com/funding-round/f21e5d09ac226911f88f624faf496834,Zesty,https://www.crunchbase.com/organization/zestyapp,Seed,"$3,700,000",07/15/2014,39,
ALOHA's Seed Round,https://www.crunchbase.com/funding-round/dd85501a51725f331d08ff7913aa3382,ALOHA,https://www.crunchbase.com/organization/aloha,Seed,"$4,500,000",01/21/2014,17,
Thrive Market's Series A,https://www.crunchbase.com/funding-round/d082b2e834fc3328b21177a45b50f30b,Thrive Market,https://www.crunchbase.com/organization/thrive-market,Series A,"$30,000,000",07/30/2015,16,
Nightingale's Seed Round,https://www.crunchbase.com/funding-round/84d646ed632b10d5ccb085f21796c7e9,Nightingale,https://www.crunchbase.com/organization/nightingale,Seed,"$660,000",03/24/2015,5,
Quartet's Series A,https://www.crunchbase.com/funding-round/4db715c88291ff4e546ad0bc8381ae3b,Quartet,https://www.crunchbase.com/organization/quartet-health,Series A,"$7,000,000",03/02/2015,13,
Greatist's Series A,https://www.crunchbase.com/funding-round/92ca7f4655d67977e12e8f85be8ac7ea,Greatist,https://www.crunchbase.com/organization/the-greatist,Series A,"$4,500,000",01/20/2016,11,
Greatist's Seed Round,https://www.crunchbase.com/funding-round/612319a35f320479425f6870a7fa606a,Greatist,https://www.crunchbase.com/organization/the-greatist,Seed,"$3,500,000",03/30/2015,10,
Honor's Series A,https://www.crunchbase.com/funding-round/78edddd5522d2323b0afc0c74bbdbb14,Honor,https://www.crunchbase.com/organization/honor-2,Series A,"$20,000,000",04/02/2015,9,
Iristrace's Convertible Note,https://www.crunchbase.com/funding-round/192dad1570cdef894a90cfc6a24eaece,Iristrace,https://www.crunchbase.com/organization/iristrace,Convertible Note,"€320,000",02/20/2016,11,"$1,998,867"
PinkBlue's Seed Round,https://www.crunchbase.com/funding-round/fbc96c25b7d4785a53b5ff8b0b89a0e4,PinkBlue,https://www.crunchbase.com/organization/pinkblue,Seed,"$224,000",03/14/2016,8,
FIGS's Seed Round,https://www.crunchbase.com/funding-round/32dbe945edaf80543818004b9e762fae,FIGS,https://www.crunchbase.com/organization/figs,Seed,"$2,000,000",07/02/2013,8,
BetterDoctor's Seed Round,https://www.crunchbase.com/funding-round/83b4fcb0cd5bc1470cbea40dede0d16a,BetterDoctor,https://www.crunchbase.com/organization/betterdoctor-inc,Seed,"$2,600,000",10/22/2013,8,
BetterDoctor's Series A,https://www.crunchbase.com/funding-round/f194c3f663f863ec482b6a175bea65d4,BetterDoctor,https://www.crunchbase.com/organization/betterdoctor-inc,Series A,"$10,000,000",07/01/2014,5,
Jounce Therapeutics' Series B,https://www.crunchbase.com/funding-round/a6e101ba76738dff817e08058beeb378,Jounce Therapeutics,https://www.crunchbase.com/organization/jounce-therapeutics,Series B,"$56,000,000",04/23/2015,8,
BetterDoctor's Series A,https://www.crunchbase.com/funding-round/3c9ab8359e46e2ebd477b8ef25fd8c0a,BetterDoctor,https://www.crunchbase.com/organization/betterdoctor-inc,Series A,"$525,000",05/01/2012,8,
Sandstone Diagnostics' Angel Round,https://www.crunchbase.com/funding-round/baf59a3289c46564b8c67feab7224462,Sandstone Diagnostics,https://www.crunchbase.com/organization/sandstone-diagnostics,Angel,"$1,800,000",06/25/2014,8,
Silversheet's Seed Round,https://www.crunchbase.com/funding-round/a5d8159dca4197469f8161926ed74258,Silversheet,https://www.crunchbase.com/organization/silversheet,Seed,"$2,900,000",05/13/2015,7,
GLAMSQUAD's Series B,https://www.crunchbase.com/funding-round/20f3970e0a4366d906aa358a16f7b066,GLAMSQUAD,https://www.crunchbase.com/organization/glamsquad,Series B,"$15,000,000",10/09/2015,6,
Babylon Health's Series A,https://www.crunchbase.com/funding-round/a7e67228256b4b3fbdd15402f2e1fcc8,Babylon Health,https://www.crunchbase.com/organization/babylon-health,Series A,"$25,000,000",01/13/2016,7,"$100,000,000"
Meadow's Seed Round,https://www.crunchbase.com/funding-round/f078628c3d8c36ee0361c45ece88c341,Meadow,https://www.crunchbase.com/organization/meadow,Seed,"$2,100,000",04/05/2016,7,
Urban Ladder's Series C,https://www.crunchbase.com/funding-round/e4c4074c99eb2869d99d6e241a22e834,Urban Ladder,https://www.crunchbase.com/organization/urban-ladder,Series C,"$50,000,000",04/09/2015,6,
HealthCrowd's Seed Round,https://www.crunchbase.com/funding-round/3572e62f0dd0b86dec7a763b726b3cfa,HealthCrowd,https://www.crunchbase.com/organization/healthcrowd,Seed,"$2,100,000",11/23/2015,5,
Clear Labs' Series A,https://www.crunchbase.com/funding-round/dcd58f9b5a61d7b9a8c41d57f8af68d2,Clear Labs,https://www.crunchbase.com/organization/clear-labs,Series A,"$6,500,000",09/15/2015,6,
Elysia's Series A,https://www.crunchbase.com/funding-round/19f9539ed0d4bbb58177a84ec03666ac,Elysia,https://www.crunchbase.com/organization/elysia,Series A,"€1,211,200",10/21/2015,7,
Medical Departures' Series A,https://www.crunchbase.com/funding-round/9fc3b1cf5d7a2f3a81c7f656afe62618,Medical Departures,https://www.crunchbase.com/organization/medical-departures,Series A,"$2,500,000",03/22/2016,4,
Cambridge Epigenetix's Series B,https://www.crunchbase.com/funding-round/60155a6a3b5140fb6607b30666253500,Cambridge Epigenetix,https://www.crunchbase.com/organization/cambridge-epigenetix,Series B,"$21,000,000",03/14/2016,5,
Lumiata's Series B,https://www.crunchbase.com/funding-round/14174ba662a4628c1fa1b3dff75aef7d,Lumiata,https://www.crunchbase.com/organization/lumiata,Series B,"$10,000,000",05/26/2016,4,
Thrive Market's Series B,https://www.crunchbase.com/funding-round/1b450cce8658927a093318c2fec0caa3,Thrive Market,https://www.crunchbase.com/organization/thrive-market,Series B,"$111,000,000",06/27/2016,5,
Freshly's Series B,https://www.crunchbase.com/funding-round/2f7a75c42796eb349a8b76a31ac17f50,Freshly,https://www.crunchbase.com/organization/freshly,Series B,"$21,000,000",07/12/2016,5,
ExplORer Surgical's Seed Round,https://www.crunchbase.com/funding-round/09c91d5ec7fd00f5eed0d4979eef3969,ExplORer Surgical,https://www.crunchbase.com/organization/explorer-surgical,Seed,"$1,000,000",09/13/2016,5,
Fauna's Seed Round,https://www.crunchbase.com/funding-round/22391c7a6567129c24e26f4c1ecf4a73,Fauna,https://www.crunchbase.com/organization/fauna-2,Seed,"$4,500,000",09/20/2016,6,
OvaScience's Series B,https://www.crunchbase.com/funding-round/277e0a19bb668a29b5b06be20ea8c06d,OvaScience,https://www.crunchbase.com/organization/ovascience,Series B,"$37,000,000",04/03/2012,5,
Aidin's Venture Round,https://www.crunchbase.com/funding-round/817422b5da0939d3bf7124621046b0ed,Aidin,https://www.crunchbase.com/organization/aidin,Series Unknown,"$600,000",06/16/2012,5,
"Restore Medical Solutions, Inc.'s Series A",https://www.crunchbase.com/funding-round/118bea8926c377a6d18c5520b6f40edf,"Restore Medical Solutions, Inc.",https://www.crunchbase.com/organization/restore-medical-solutions-inc,Series A,"$1,600,000",07/09/2015,4,
Medisafe's Seed Round,https://www.crunchbase.com/funding-round/96caea5b481d7729af0f1fa8383dd913,Medisafe,https://www.crunchbase.com/organization/medisafe-project,Seed,"$1,000,000",09/23/2013,5,
Personalis' Series A,https://www.crunchbase.com/funding-round/a619256215c3e4ace3d534ede01e876d,Personalis,https://www.crunchbase.com/organization/personalis,Series A,"$20,000,000",08/15/2011,4,
Birdi's Angel Round,https://www.crunchbase.com/funding-round/d1345041a24f0bc577913fb41e290b93,Birdi,https://www.crunchbase.com/organization/birdi,Angel,"$700,000",07/28/2014,5,
GLAMSQUAD's Series A,https://www.crunchbase.com/funding-round/91f47cbcbf1e9e6e254e2391063eb5ea,GLAMSQUAD,https://www.crunchbase.com/organization/glamsquad,Series A,"$7,000,000",10/22/2014,5,
Thrive Market's Seed Round,https://www.crunchbase.com/funding-round/020a301f1f6eb2144fd3329744de0aaa,Thrive Market,https://www.crunchbase.com/organization/thrive-market,Seed,"$8,000,000",01/01/2014,6,
Medisafe's Series A,https://www.crunchbase.com/funding-round/873d05e6d4ec7b26cbff654218816145,Medisafe,https://www.crunchbase.com/organization/medisafe-project,Series A,"$6,000,000",01/07/2015,5,
Pager's Venture Round,https://www.crunchbase.com/funding-round/dea79353c123281a8b4303e8b6486397,Pager,https://www.crunchbase.com/organization/pager,Series Unknown,"$5,900,000",03/10/2015,5,
Wildflower Health's Series B,https://www.crunchbase.com/funding-round/fe04d19661562b15e76883e04c856556,Wildflower Health,https://www.crunchbase.com/organization/wildflower-health,Series B,"$5,000,000",06/26/2015,5,
Avhana Health's Seed Round,https://www.crunchbase.com/funding-round/4c87e63f21a9f90a2b8b57ccb29f0c70,Avhana Health,https://www.crunchbase.com/organization/avhana,Seed,"$750,000",12/22/2014,5,
Pager's Series A,https://www.crunchbase.com/funding-round/a13e3ed250181c497fe2f5efe6d091cd,Pager,https://www.crunchbase.com/organization/pager,Series A,"$14,000,000",07/13/2015,5,
Zesty's Series A,https://www.crunchbase.com/funding-round/ef461d8019e3016f686f4fd3ffc9af19,Zesty,https://www.crunchbase.com/organization/zestyapp,Series A,"$17,000,000",07/10/2015,3,
Dynosense's Series A,https://www.crunchbase.com/funding-round/b35837f0cd16baaad32eb0301d740805,Dynosense,https://www.crunchbase.com/organization/dynosense,Series A,"$9,400,000",08/25/2015,5,
PatientPing's Venture Round,https://www.crunchbase.com/funding-round/ba276dbed23aacf617db4f4de993c3b4,PatientPing,https://www.crunchbase.com/organization/patientping,Series Unknown,"$9,600,000",11/16/2015,5,
VetPronto - Mobile Veterinarians' Seed Round,https://www.crunchbase.com/funding-round/972e838ab86ac103131d802253709995,VetPronto - Mobile Veterinarians,https://www.crunchbase.com/organization/vetpronto,Seed,"$230,000",12/15/2014,6,
