Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Fluidic Analytics' Series B,https://www.crunchbase.com/funding-round/3b71b615900b066f145e510b32ab122a,Fluidic Analytics,https://www.crunchbase.com/organization/fluidic-analytics,Series B,"£5,300,000",09/06/2016,6,
Lodo Therapeutics' Series A,https://www.crunchbase.com/funding-round/cc6b44f54c2db264a6616fe5d849d2ab,Lodo Therapeutics,https://www.crunchbase.com/organization/lodo-therapeutics,Series A,"$17,000,000",01/11/2016,7,
10X Genomics' Series C,https://www.crunchbase.com/funding-round/1401ff933a83274e92798ecd2f175be2,10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series C,"$55,000,000",03/17/2016,5,
Cambridge Epigenetix's Series B,https://www.crunchbase.com/funding-round/60155a6a3b5140fb6607b30666253500,Cambridge Epigenetix,https://www.crunchbase.com/organization/cambridge-epigenetix,Series B,"$21,000,000",03/14/2016,5,
AccuraGen Holdings' Series B,https://www.crunchbase.com/funding-round/3f2700472dca3f0942eb1c7dcb22cd4f,AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,Series B,"$40,000,000",06/01/2016,6,
Quantum Biosystems' Series B,https://www.crunchbase.com/funding-round/7deb45156933ad1d00d139a23002afdf,Quantum Biosystems,https://www.crunchbase.com/organization/quantum-biosystems,Series B,"$20,500,000",02/09/2015,5,
Fluidic Analytics' Series A,https://www.crunchbase.com/funding-round/aceda62b2252ac83bc6e2f72f6454228,Fluidic Analytics,https://www.crunchbase.com/organization/fluidic-analytics,Series A,"£1,560,000",12/18/2014,5,
Cambrian Genomics' Seed Round,https://www.crunchbase.com/funding-round/cd999df39c5fc74d9b0cbc1d16d79593,Cambrian Genomics,https://www.crunchbase.com/organization/cambrian-genomics,Seed,,07/01/2012,5,
BlueBee's Series A,https://www.crunchbase.com/funding-round/8d786fcf2f5a7a9bddac68e3829dac94,BlueBee,https://www.crunchbase.com/organization/bluebee,Series A,"€10,000,000",03/31/2016,3,
Neoprospecta's Seed Round,https://www.crunchbase.com/funding-round/5c6ba7776832183db08cac0279f115d5,Neoprospecta,https://www.crunchbase.com/organization/neoprospecta,Seed,"R$4,000,000",08/18/2014,1,
Cambridge Epigenetix's Series A,https://www.crunchbase.com/funding-round/d85d8b9e1a0f1118d0be0663be43e2c5,Cambridge Epigenetix,https://www.crunchbase.com/organization/cambridge-epigenetix,Series A,"$5,500,000",10/29/2014,3,
10X Genomics' Series B,https://www.crunchbase.com/funding-round/563923487783bdeb5d0b7872f3d6b99a,10X Genomics,https://www.crunchbase.com/organization/10x-genomics,Series B,"$55,000,000",01/12/2015,3,
Lifecode's Series A,https://www.crunchbase.com/funding-round/a562885114b78c29a596a29058d6acaa,Lifecode,https://www.crunchbase.com/organization/lifecode,Series A,"$20,500,000",02/19/2015,4,
PierianDx's Series A,https://www.crunchbase.com/funding-round/2f4e6695444e12690332b634a9bda958,PierianDx,https://www.crunchbase.com/organization/pieriandx,Series A,"$9,250,000",01/07/2016,3,
Helix's Series A,https://www.crunchbase.com/funding-round/67a5443ee0bab1067fe800667b46b97c,Helix,https://www.crunchbase.com/organization/helix,Series A,"$100,000,000",08/15/2015,4,
OncoDNA's Series A,https://www.crunchbase.com/funding-round/c0ef6fcb3707381933ab3466cfad2de9,OncoDNA,https://www.crunchbase.com/organization/oncodna,Series A,"€7,700,000",09/02/2016,2,
Congenica's Series A,https://www.crunchbase.com/funding-round/1875c0f5d45d7742a4801007033816f6,Congenica,https://www.crunchbase.com/organization/congenica,Series A,"£2,200,000",04/14/2015,2,
Pattern Genomics' Seed Round,https://www.crunchbase.com/funding-round/8c8ce01c0d9e7ff1f890f8ebb918e4e3,Pattern Genomics,https://www.crunchbase.com/organization/pattern-genomics,Seed,"$150,000",03/21/2013,1,
Cambrian Genomics' Series A,https://www.crunchbase.com/funding-round/ae11b5ff12cfe0327197637e3ccf0118,Cambrian Genomics,https://www.crunchbase.com/organization/cambrian-genomics,Series A,"$11,228,000",11/20/2014,1,
Congenica's Venture Round,https://www.crunchbase.com/funding-round/600c3deb38898e0a3645c5365b83f17c,Congenica,https://www.crunchbase.com/organization/congenica,Series Unknown,"£1,000,000",12/05/2014,1,
Cambrian Genomics' Seed Round,https://www.crunchbase.com/funding-round/f4479fbba83731be955f23426578a534,Cambrian Genomics,https://www.crunchbase.com/organization/cambrian-genomics,Seed,,09/11/2013,2,
BlueBee's Seed Round,https://www.crunchbase.com/funding-round/da82c79c66a2a3b70818090e6cfac4cb,BlueBee,https://www.crunchbase.com/organization/bluebee,Seed,"€1,750,000",05/20/2015,1,
Genesis DNA's Seed Round,https://www.crunchbase.com/funding-round/678103108ba502ba2eabfc2da5313adb,Genesis DNA,https://www.crunchbase.com/organization/genesis-dna,Seed,"$250,000",09/10/2015,2,
EQUInom's Seed Round,https://www.crunchbase.com/funding-round/9d00bf9df031386e3c3fbbbe6d7d8197,EQUInom,https://www.crunchbase.com/organization/equinom,Seed,"$1,250,000",04/13/2016,1,
Genome Surveillance's Seed Round,https://www.crunchbase.com/funding-round/dd27f94bab66baac34b0a8e6fcca7e29,Genome Surveillance,https://www.crunchbase.com/organization/genome-surveillance,Seed,,02/17/2016,2,
NantOmics' Series A,https://www.crunchbase.com/funding-round/78878b1540cf109022a1c020d37172f5,NantOmics,https://www.crunchbase.com/organization/nantomics,Series A,"$250,800,000",06/01/2015,1,"$1,498,251,748"
Phosphorus' Series A,https://www.crunchbase.com/funding-round/a7cf4f1b765f62734022fa873b370e68,Phosphorus,https://www.crunchbase.com/organization/phosphorus,Series A,"$10,000,000",07/27/2016,1,
Toma Biosciences' Series A,https://www.crunchbase.com/funding-round/750b7ec33fba010b9a027f27f06a7ef5,Toma Biosciences,https://www.crunchbase.com/organization/toma-biosciences,Series A,"$3,597,498",01/22/2014,,
AccuraGen Holdings' Series A,https://www.crunchbase.com/funding-round/40f81b34155b77ce2e73cbb3a1e3a6f2,AccuraGen Holdings,https://www.crunchbase.com/organization/accuragen-holdings,Series A,,05/26/2013,,
SeqLL's Seed Round,https://www.crunchbase.com/funding-round/c91e143c7a72d48c2756c8e916ab6be4,SeqLL,https://www.crunchbase.com/organization/seqll,Seed,"$1,000,000",02/22/2016,,
Neoprospecta's Angel Round,https://www.crunchbase.com/funding-round/2bdaacc24342f9aecef488486f067551,Neoprospecta,https://www.crunchbase.com/organization/neoprospecta,Angel,"R$500,000",02/15/2013,1,
Toma Biosciences' Venture Round,https://www.crunchbase.com/funding-round/c92742bc472e09cae896ca97af1bd444,Toma Biosciences,https://www.crunchbase.com/organization/toma-biosciences,Series Unknown,"$5,088,920",08/05/2015,,
TwinStrand Biosciences' Debt Financing,https://www.crunchbase.com/funding-round/2f29064f96c00b234b764c3f4f0ea734,TwinStrand Biosciences,https://www.crunchbase.com/organization/twinstrand-biosciences,Debt Financing,"$1,938,964",06/24/2016,,
SeqLL's Series A,https://www.crunchbase.com/funding-round/f47ee3016fb3358140087db345f424eb,SeqLL,https://www.crunchbase.com/organization/seqll,Series A,"$1,000,000",09/18/2014,,
"Creative Bioinformatics, LLC's Seed Round",https://www.crunchbase.com/funding-round/030df36af9c34337ac3d743888c3d106,"Creative Bioinformatics, LLC",https://www.crunchbase.com/organization/creative-bioinformatics-consultants-llc,Seed,,03/09/2015,1,
Molecular Assemblies' Convertible Note,https://www.crunchbase.com/funding-round/319576bcf674bd89d7deb9c141011ac8,Molecular Assemblies,https://www.crunchbase.com/organization/molecular-assemblies,Convertible Note,,02/16/2016,1,
Molecular Assemblies' Convertible Note,https://www.crunchbase.com/funding-round/3c6734268016d2b89384b4a0ad83e265,Molecular Assemblies,https://www.crunchbase.com/organization/molecular-assemblies,Convertible Note,,08/03/2015,1,
