Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
Cuff's Series A,https://www.crunchbase.com/funding-round/51618800313c40d341e36ca9ae7736b6,Cuff,https://www.crunchbase.com/organization/cuff,Series A,"$5,000,000 ",1/6/2015,3,
Nano Dimension's Venture Round,https://www.crunchbase.com/funding-round/3cc646adf280a5dad68149ee5a000f69,Nano Dimension,https://www.crunchbase.com/organization/nano-dimension,Series Unknown,"$10,900,000 ",6/1/2015,1,
Blocks' Seed Round,https://www.crunchbase.com/funding-round/debbd559c320f04cac7569643e39bd1e,Blocks,https://www.crunchbase.com/organization/blocks,Seed,"$500,000 ",8/20/2015,3,
Nano Dimension's Venture Round,https://www.crunchbase.com/funding-round/411a6cabb7818eeaecda505357701fa5,Nano Dimension,https://www.crunchbase.com/organization/nano-dimension,Series Unknown,"$2,200,000 ",11/4/2015,2,
Nuovo Film's Venture Round,https://www.crunchbase.com/funding-round/02f24ae20ba5c92cdd27026781d4e443,Nuovo Film,https://www.crunchbase.com/organization/nuovo-film,Series Unknown,,9/17/2015,1,
Sensor Films' Venture Round,https://www.crunchbase.com/funding-round/7c20f141eb9ae47d6f4f91523338dee9,Sensor Films,https://www.crunchbase.com/organization/sensor-films,Series Unknown,"$2,500,000 ",3/25/2016,1,
Blocks' Non Equity Assistance,https://www.crunchbase.com/funding-round/9bcfcf113eac24cb31435bf707799100,Blocks,https://www.crunchbase.com/organization/blocks,Non-equity Assistance,,4/15/2014,1,
Cuff's Seed Round,https://www.crunchbase.com/funding-round/c349229ef26ed699874dbe5b2dbc5010,Cuff,https://www.crunchbase.com/organization/cuff,Seed,,9/1/2013,1,
Nano Dimension's Seed Round,https://www.crunchbase.com/funding-round/69f8b661282becd3edb166b6747f32f5,Nano Dimension,https://www.crunchbase.com/organization/nano-dimension,Seed,"$1,370,000 ",8/24/2014,,
Blocks' Product Crowdfunding,https://www.crunchbase.com/funding-round/e1976adc0e63c3c1355882a51a3ed715,Blocks,https://www.crunchbase.com/organization/blocks,Product Crowdfunding,"$360,000 ",10/13/2015,,
Nano Dimension's Seed Round,https://www.crunchbase.com/funding-round/765e3be0dbd80582ec4e4e19c7c39963,Nano Dimension,https://www.crunchbase.com/organization/nano-dimension,Seed,"$2,200,000 ",1/5/2015,,
TactoTek's Seed Round,https://www.crunchbase.com/funding-round/7a15118131d8f43d59a5ed493fd4132d,TactoTek,https://www.crunchbase.com/organization/tactotek,Seed,"€1,500,000",1/27/2012,1,
TactoTek's Grant,https://www.crunchbase.com/funding-round/5061cf5f96ee2c2a6cc74ecfb09ac3c9,TactoTek,https://www.crunchbase.com/organization/tactotek,Grant,"€2,500,000",6/15/2016,,
Movellus Circuits Incorporated's Convertible Note,https://www.crunchbase.com/funding-round/06245c2f932de6ecf27534a3da1634be,Movellus Circuits Incorporated,https://www.crunchbase.com/organization/movellus-circuits-incorporated,Convertible Note,"$600,000 ",12/9/2015,,
